순위,제목,가수,앨범,이미지
59,주저하는 연인들을 위해,잔나비,전설,"http://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/172/042/81172042_1552452730746_1_140x140.JPG/dims/resize/Q_80,0"
60,사랑의 바보,제이세라 (J-Cera),사랑의 바보,"http://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/903/050/83903050_1686279583411_1_140x140.JPG/dims/resize/Q_80,0"
61,Dynamite,방탄소년단,Dynamite (DayTime Ver.),"http://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/545/399/81545399_1600401677905_1_140x140.JPG/dims/resize/Q_80,0"
62,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,"http://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/271/853/81271853_1569396403906_1_140x140.JPG/dims/resize/Q_80,0"
63,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE,"http://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/082/184/83082184_1665969939180_1_140x140.JPG/dims/resize/Q_80,0"
64,That's Hilarious,Charlie Puth,CHARLIE,"http://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/484/273/82484273_1665067200754_1_140x140.JPG/dims/resize/Q_80,0"
65,예뻤어,DAY6 (데이식스),Every DAY6 February,"http://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/919/666/80919666_1486113823984_1_140x140.JPG/dims/resize/Q_80,0"
66,손오공,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album 'FML',"http://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/762/577/83762577_1682297728199_1_140x140.JPG/dims/resize/Q_80,0"
67,When I Get Old,Christopher & 청하,When I Get Old,"http://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/073/238/83073238_1665772282151_1_140x140.JPG/dims/resize/Q_80,0"
68,Stay,The Kid LAROI & Justin Bieber,Stay,"http://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/130/513/82130513_1625722837604_1_140x140.JPG/dims/resize/Q_80,0"
69,사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어,"http://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/684/144/83684144_1680242492859_1_140x140.JPG/dims/resize/Q_80,0"
70,트월ㅋ (Prod. by Czaer),미연 ((여자)아이들) & 우기 ((여자)아이들),스트릿 우먼 파이터2 (SWF2) 계급미션,"http://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/193/518/84193518_1693904065753_1_140x140.JPG/dims/resize/Q_80,0"
71,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND',"http://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/519/066/83519066_1675749482269_1_140x140.JPG/dims/resize/Q_80,0"
72,그라데이션,10CM,5.3,"http://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/798/875/82798875_1656663217923_1_140x140.JPG/dims/resize/Q_80,0"
73,잠깐 시간 될까,이무진,잠깐 시간 될까,"http://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/807/543/83807543_1683600166370_1_140x140.JPG/dims/resize/Q_80,0"
74,TOMBOY,(여자)아이들,I NEVER DIE,"http://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/586/132/82586132_1647227017471_1_140x140.JPG/dims/resize/Q_80,0"
75,The Drum,Alan Walker,"Walkerverse, Pt. I","http://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/202/82638202_1655369481808_1_140x140.JPG/dims/resize/Q_80,0"
76,나에게 그대만이,탑현,나에게 그대만이,"http://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/902/576/83902576_1686288357417_1_140x140.JPG/dims/resize/Q_80,0"
77,미친 사랑의 노래,김연지 & DK (디셈버),미친 사랑의 노래,"http://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/172/540/84172540_1692334976181_1_140x140.JPG/dims/resize/Q_80,0"
78,Shut Down,BLACKPINK,BORN PINK,"http://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/912/188/82912188_1663300532914_1_140x140.JPG/dims/resize/Q_80,0"
79,2002,Anne-Marie,Speak Your Mind (Deluxe),"http://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/031/556/81031556_1656957034547_1_140x140.JPG/dims/resize/Q_80,0"
80,해요 (2022),#안녕,해요 (2022),"http://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/727/185/82727185_1654248208229_1_140x140.JPG/dims/resize/Q_80,0"
81,Dreamers (Music from the FIFA World Cup Qatar 2022 Official Soundtrack) (Feat. FIFA Sound),정국 & 방탄소년단,Dreamers (Music from the FIFA World Cup Qatar 2022 Official Soundtrack),"http://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/196/201/83196201_1671520555194_1_140x140.JPG/dims/resize/Q_80,0"
82,그중에 그대를 만나,김호중,삼남매가 용감하게 OST Part.1,"http://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/002/500/83002500_1663912084716_1_140x140.JPG/dims/resize/Q_80,0"
83,Never Ending Story,김민석 (멜로망스),너의 시간 속으로 OST,"http://image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/398/366/83398366_1694065643049_1_140x140.JPG/dims/resize/Q_80,0"
